1.	Stephen Curry	$37,457,154	$45,353,228
2.	Russell Westbrook	$35,665,000	$43,183,283
3.	LeBron James	$35,654,150	$43,170,146
3.	Chris Paul	$35,654,150	$43,170,146
5.	Kyle Lowry	$32,700,000	$39,593,253
6.	Blake Griffin	$31,873,932	$38,593,047
7.	Gordon Hayward	$31,214,295	$37,794,357
8.	James Harden	$30,570,000	$37,014,243
9.	Paul George	$30,560,700	$37,002,982
10.	Mike Conley	$30,521,115	$36,955,053
11.	Kevin Durant	$30,000,000	$36,324,085
12.	Paul Millsap	$29,230,769	$35,392,698
13.	Al Horford	$28,928,710	$35,026,964
14.	Damian Lillard	$27,977,689	$33,875,465
15.	DeMar DeRozan	$27,739,975	$33,587,640
16.	Chris Bosh	$26,837,720	$32,495,187
17.	Jrue Holiday	$26,641,111	$32,257,133
18.	Otto Porter	$26,011,913	$31,495,298
19.	CJ McCollum	$25,759,766	$31,189,998
20.	Joel Embiid	$25,467,250	$30,835,818
20.	Andrew Wiggins	$25,467,250	$30,835,818
20.	Nikola Jokic	$25,467,250	$30,835,818
23.	Anthony Davis	$25,434,263	$30,795,878
24.	Bradley Beal	$25,434,262	$30,795,876
24.	Andre Drummond	$25,434,262	$30,795,876
26.	Hassan Whiteside	$24,434,262	$29,585,074
27.	Dwight Howard	$24,256,725	$29,370,110
28.	Steven Adams	$24,157,304	$29,249,732
28.	Giannis Antetokounmpo	$24,157,304	$29,249,732
30.	Marc Gasol	$24,119,025	$29,203,384
30.	Kevin Love	$24,119,025	$29,203,384
32.	Harrison Barnes	$24,107,258	$29,189,136
32.	Chandler Parsons	$24,107,258	$29,189,136
34.	Nicolas Batum	$24,000,000	$29,059,268
35.	Rudy Gobert	$23,491,573	$28,443,663
36.	Kawhi Leonard	$23,114,066	$27,986,577
37.	DeAndre Jordan	$22,897,200	$27,723,995
38.	LaMarcus Aldridge	$22,347,015	$27,057,829
39.	Serge Ibaka	$21,666,667	$26,234,062
40.	Aaron Gordon	$21,590,909	$26,142,334
41.	Danilo Gallinari	$21,587,579	$26,138,302
42.	Victor Oladipo	$21,000,000	$25,426,859
43.	Ryan Anderson	$20,421,546	$24,726,466
44.	Joakim Noah	$20,261,172	$24,532,283
45.	Kyrie Irving	$20,099,189	$24,336,155
46.	Jabari Parker	$20,000,000	$24,216,057
47.	Jimmy Butler	$19,841,627	$24,024,298
48.	Zach LaVine	$19,500,000	$23,610,655
49.	Wesley Matthews	$19,360,228	$23,441,418
50.	Allen Crabbe	$19,332,500	$23,407,846
51.	Enes Kanter	$19,264,603	$23,325,636
52.	Tyler Johnson	$19,245,370	$23,302,348
53.	John Wall	$19,169,800	$23,210,848
54.	Jeff Teague	$19,000,000	$23,005,254
54.	George Hill	$19,000,000	$23,005,254
56.	Klay Thompson	$18,988,725	$22,991,602
57.	Goran Dragic	$18,109,175	$21,926,640
58.	Kent Bazemore	$18,089,888	$21,903,287
59.	Evan Turner	$17,868,853	$21,635,658
60.	Draymond Green	$17,469,565	$21,152,199
60.	Tristan Thompson	$17,469,565	$21,152,199
62.	Tim Hardaway Jr	$17,325,000	$20,977,159
63.	Pau Gasol	$17,133,285	$20,745,029
64.	Reggie Jackson	$17,043,478	$20,636,291
65.	Evan Fournier	$17,000,000	$20,583,648
65.	Bismack Biyombo	$17,000,000	$20,583,648
67.	Derrick Favors	$16,900,000	$20,462,568
68.	Luol Deng	$16,747,954	$20,278,470
69.	Jonas Valanciunas	$16,539,326	$20,025,863
70.	Gary Harris	$16,517,857	$19,999,868
71.	Ian Mahinmi	$16,000,000	$19,372,845
71.	Timofey Mozgov	$16,000,000	$19,372,845
71.	Andre Iguodala	$16,000,000	$19,372,845
74.	Clint Capela	$15,793,104	$19,122,335
75.	Dennis Schroeder	$15,500,000	$18,767,444
76.	DeMarre Carroll	$15,400,000	$18,646,363
77.	Gorgui Dieng	$15,170,787	$18,368,832
78.	Trevor Ariza	$15,000,000	$18,162,042
78.	Eric Bledsoe	$15,000,000	$18,162,042
80.	Ricky Rubio	$14,800,000	$17,919,882
80.	Tobias Harris	$14,800,000	$17,919,882
82.	JR Smith	$14,720,000	$17,823,017
83.	Brandon Knight	$14,631,250	$17,715,559
84.	James Johnson	$14,420,700	$17,460,624
85.	Robin Lopez	$14,357,750	$17,384,404
86.	Kenneth Faried	$14,242,782	$17,245,200
87.	Marvin Williams	$14,087,500	$17,057,185
88.	Taj Gibson	$14,000,000	$16,951,239
89.	Thaddeus Young	$13,764,045	$16,665,544
90.	Tyson Chandler	$13,585,000	$16,448,755
91.	Marcin Gortat	$13,565,218	$16,424,804
92.	Kelly Olynyk	$13,537,527	$16,391,276
93.	Cody Zeller	$13,528,090	$16,379,849
94.	Eric Gordon	$13,500,375	$16,346,292
95.	Austin Rivers	$13,155,324	$15,928,503
96.	Khris Middleton	$13,000,000	$15,740,437
96.	Michael Kidd-Gilchrist	$13,000,000	$15,740,437
98.	Mason Plumlee	$12,917,808	$15,640,918
99.	Wilson Chandler	$12,800,562	$15,498,956
100.	Solomon Hill	$12,763,467	$15,454,042
101.	Nikola Vucevic	$12,750,000	$15,437,736
102.	Dion Waiters	$12,705,000	$15,383,250
103.	Joe Ingles	$12,545,455	$15,190,072
104.	Jeremy Lin	$12,516,746	$15,155,311
105.	Nikola Mirotic	$12,500,000	$15,135,035
105.	Jordan Clarkson	$12,500,000	$15,135,035
107.	Tyreke Evans	$12,400,000	$15,013,955
107.	Miles Plumlee	$12,400,000	$15,013,955
109.	Courtney Lee	$12,253,780	$14,836,911
110.	JJ Redick	$12,250,000	$14,832,334
111.	Avery Bradley	$12,000,000	$14,529,634
111.	Kentavious Caldwell-Pope	$12,000,000	$14,529,634
111.	Kemba Walker	$12,000,000	$14,529,634
114.	Will Barton	$11,830,358	$14,324,231
115.	TJ Warren	$11,750,000	$14,226,933
116.	Zach Randolph	$11,692,308	$14,157,079
117.	Patrick Mills	$11,571,429	$14,010,719
118.	Alec Burks	$11,536,515	$13,968,445
119.	Omer Asik	$11,286,516	$13,665,745
120.	Marcus Smart	$11,160,716	$13,513,426
121.	Jusuf Nurkic	$11,111,111	$13,453,364
122.	Iman Shumpert	$11,011,234	$13,332,433
123.	Moe Harkless	$10,837,079	$13,121,566
124.	Tony Snell	$10,607,143	$12,843,159
125.	Dante Exum	$10,600,000	$12,834,510
126.	Meyers Leonard	$10,595,506	$12,829,068
127.	John Henson	$10,577,466	$12,807,226
128.	Terrence Ross	$10,500,000	$12,713,429
128.	Mirza Teletovic	$10,500,000	$12,713,429
128.	Bojan Bogdanovic	$10,500,000	$12,713,429
131.	Robert Covington	$10,464,092	$12,669,952
132.	Rudy Gay	$10,087,200	$12,213,610
133.	Jon Leuer	$10,002,681	$12,111,274
134.	Danny Green	$10,000,000	$12,108,028
134.	Andre Roberson	$10,000,000	$12,108,028
134.	Darren Collison	$10,000,000	$12,108,028
137.	Dwight Powell	$9,631,250	$11,661,544
138.	Matthew Dellavedova	$9,607,500	$11,632,788
139.	Jared Dudley	$9,530,000	$11,538,951
140.	Boban Marjanovic	$9,490,740	$11,491,415
141.	Norman Powell	$9,367,200	$11,341,832
141.	Josh Richardson	$9,367,200	$11,341,832
143.	Markieff Morris	$9,173,294	$11,107,050
144.	Bogdan Bogdanovic	$9,000,000	$10,897,225
144.	Rajon Rondo	$9,000,000	$10,897,225
146.	E'Twaun Moore	$8,808,685	$10,665,580
