1.	Stephen Curry	$43,006,362	$50,899,072
2.	Russell Westbrook	$41,358,814	$48,949,159
2.	Chris Paul	$41,358,814	$48,949,159
4.	John Wall	$41,254,920	$48,826,198
4.	James Harden	$41,254,920	$48,826,198
6.	Kevin Durant	$40,108,950	$47,469,914
7.	LeBron James	$39,219,566	$46,417,307
8.	Paul George	$35,450,412	$41,956,422
9.	Klay Thompson	$35,361,360	$41,851,026
10.	Mike Conley	$34,502,132	$40,834,109
11.	Jimmy Butler	$34,379,100	$40,688,498
11.	Kawhi Leonard	$34,379,100	$40,688,498
11.	Kemba Walker	$34,379,100	$40,688,498
14.	Tobias Harris	$34,358,850	$40,664,532
15.	Blake Griffin	$33,900,241	$40,121,756
16.	Kyrie Irving	$33,722,850	$39,911,810
17.	Khris Middleton	$33,051,724	$39,117,516
18.	Anthony Davis	$32,742,000	$38,750,950
19.	Damian Lillard	$31,626,953	$37,431,265
20.	Kevin Love	$31,258,256	$36,994,903
21.	Pascal Siakam	$30,559,200	$36,167,554
21.	Ben Simmons	$30,559,200	$36,167,554
23.	Kyle Lowry	$30,500,000	$36,097,489
24.	Steven Adams	$29,592,695	$35,023,672
25.	Joel Embiid	$29,542,010	$34,963,685
25.	Andrew Wiggins	$29,542,010	$34,963,685
25.	Nikola Jokic	$29,542,010	$34,963,685
28.	Devin Booker	$29,467,800	$34,875,855
28.	Karl-Anthony Towns	$29,467,800	$34,875,855
28.	Kristaps Porzingis	$29,467,800	$34,875,855
31.	CJ McCollum	$29,354,152	$34,741,350
32.	Bradley Beal	$28,751,774	$34,028,421
32.	Andre Drummond	$28,751,774	$34,028,421
34.	D'Angelo Russell	$28,649,250	$33,907,081
35.	Gordon Hayward	$28,500,000	$33,730,441
36.	Otto Porter	$28,489,239	$33,717,705
37.	DeMar DeRozan	$27,739,975	$32,830,932
38.	Giannis Antetokounmpo	$27,528,088	$32,580,159
39.	Rudy Gobert	$27,525,281	$32,576,837
40.	Al Horford	$27,500,000	$32,546,916
41.	Brandon Ingram	$27,285,000	$32,292,459
41.	Jamal Murray	$27,285,000	$32,292,459
43.	Jrue Holiday	$27,026,011	$31,985,939
44.	Nikola Vucevic	$26,000,000	$30,771,630
45.	Jaylen Brown	$25,035,118	$29,629,669
46.	Buddy Hield	$24,931,817	$29,507,409
47.	Draymond Green	$22,246,956	$26,329,811
48.	Harrison Barnes	$22,215,909	$26,293,066
49.	Fred VanVleet	$21,250,000	$25,149,890
50.	Victor Oladipo	$21,000,000	$24,854,009
51.	Malcolm Brogdon	$20,700,000	$24,498,951
52.	Julius Randle	$19,845,000	$23,487,038
53.	Domantas Sabonis	$19,800,000	$23,433,780
54.	Gary Harris	$19,610,714	$23,209,755
55.	Zach LaVine	$19,500,000	$23,078,722
55.	Danilo Gallinari	$19,500,000	$23,078,722
57.	Jerami Grant	$19,050,000	$22,546,136
58.	Tim Hardaway Jr	$18,975,000	$22,457,372
59.	Terry Rozier	$18,900,000	$22,368,608
60.	Aaron Gordon	$18,136,364	$21,464,826
61.	Goran Dragic	$18,000,000	$21,303,436
61.	Myles Turner	$18,000,000	$21,303,436
61.	Bogdan Bogdanovic	$18,000,000	$21,303,436
61.	Clint Capela	$18,000,000	$21,303,436
65.	Bojan Bogdanovic	$17,850,000	$21,125,907
66.	LaMarcus Aldridge	$17,628,340	$20,863,567
67.	Gorgui Dieng	$17,587,688	$20,815,454
68.	Evan Fournier	$17,150,000	$20,297,440
69.	Ricky Rubio	$17,000,000	$20,119,912
70.	Eric Bledsoe	$16,875,000	$19,971,971
71.	Eric Gordon	$16,869,267	$19,965,186
72.	Caris LeVert	$16,203,704	$19,177,476
73.	Joe Harris	$16,071,429	$19,020,925
74.	James Johnson	$16,047,100	$18,992,131
75.	Dennis Schroeder	$15,500,000	$18,344,625
76.	Cody Zeller	$15,415,730	$18,244,890
77.	Danny Green	$15,365,853	$18,185,859
78.	Davis Bertans	$15,000,000	$17,752,863
78.	Andre Iguodala	$15,000,000	$17,752,863
78.	Jonas Valanciunas	$15,000,000	$17,752,863
81.	Marcus Morris	$14,883,721	$17,615,244
82.	Rudy Gay	$14,500,000	$17,161,101
83.	Kelly Oubre	$14,375,000	$17,013,161
84.	Dejounte Murray	$14,286,000	$16,907,827
